NMI,ARI,ACC,HOM,COM,PUR
0.98189646,0.98944604,0.99489796,0.9819425,0.98185045,0.99489796
0.966462,0.9691305,0.9897959,0.9639803,0.96895653,0.9897959
1.0,1.0,1.0,1.0,1.0,1.0
0.9818953,0.9894485,0.99489796,0.9817573,0.98203343,0.99489796
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9806017,0.9843328,0.99489796,0.9817573,0.97944885,0.99489796
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9474687,0.95461595,0.9846939,0.9465256,0.94841367,0.9846939
0.9818953,0.9894485,0.99489796,0.9817573,0.98203343,0.99489796
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9818953,0.9894485,0.99489796,0.9817573,0.98203343,0.99489796
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.96653897,0.96886545,0.9897959,0.96875,0.964338,0.9897959
0.98057604,0.9843997,0.99489796,0.9793518,0.9818033,0.99489796
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9691135,0.9791635,0.9897959,0.96875,0.9694773,0.9897959
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9818953,0.9894485,0.99489796,0.9817573,0.98203343,0.99489796
1.0,1.0,1.0,1.0,1.0,1.0
0.9809245,0.9853156,0.99489796,0.9793518,0.9825022,0.99489796
0.98189646,0.98944604,0.99489796,0.9819425,0.98185045,0.99489796
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
