NMI,ARI,ACC,HOM,COM,PUR
1.0,1.0,1.0,1.0,1.0,1.0
0.96482486,0.97854346,0.9916667,0.9636425,0.96601015,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
0.9403361,0.95776296,0.98333335,0.9378172,0.9428686,0.98333335
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.8613918,0.8843227,0.875,0.9619358,0.77987707,0.875
1.0,1.0,1.0,1.0,1.0,1.0
0.9628505,0.9723242,0.9916667,0.9619358,0.963767,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.86495125,0.89202625,0.9583333,0.8590214,0.8709635,0.9583333
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.96482486,0.97854346,0.9916667,0.9636425,0.96601015,0.9916667
0.9628953,0.9722696,0.9916667,0.9636425,0.96214926,0.9916667
0.96482486,0.97854346,0.9916667,0.9636425,0.96601015,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9628953,0.9722696,0.9916667,0.9636425,0.96214926,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.96482486,0.97854346,0.9916667,0.9636425,0.96601015,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9628505,0.9723242,0.9916667,0.9619358,0.963767,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9628505,0.9723242,0.9916667,0.9619358,0.963767,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.96482486,0.97854346,0.9916667,0.9636425,0.96601015,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9628953,0.9722696,0.9916667,0.9636425,0.96214926,0.9916667
0.9628505,0.9723242,0.9916667,0.9619358,0.963767,0.9916667
0.96365976,0.9745817,0.975,1.0,0.9298681,0.975
1.0,1.0,1.0,1.0,1.0,1.0
